Sessions,Bounce_Rate,Exit_Rate,Organic_Searches,Pages_Session,New_Users
2,100.00,60.00,0,2.50,0
2,50.00,40.00,2,2.50,2
2,0.00,01.08.33,2,6.00,1
2,50.00,40.00,1,2.50,1
2,50.00,40.00,0,2.50,2
2,100.00,66.67,1,1.50,2
2,50.00,20.00,1,2.50,2
2,50.00,25.00,2,4.00,2
2,50.00,33.33,2,1.50,2
2,0.00,0.00,0,2.00,2
2,100.00,50.00,2,2.00,2
2,100.00,40.00,0,2.50,2
2,100.00,28.57,2,3.50,2
2,100.00,57.14,0,3.50,2
2,100.00,66.67,0,1.50,2
2,50.00,20.00,0,2.50,0
2,100.00,60.00,0,2.50,2
2,0.00,16.67,0,6.00,0
2,100.00,60.00,1,2.50,2
2,50.00,20.00,1,2.50,2
2,50.00,27.27,0,5.50,0
2,100.00,40.00,2,2.50,2
2,100.00,66.67,1,1.50,2
2,100.00,50.00,1,2.00,1
2,0.00,0.00,0,5.50,0
2,100.00,33.33,2,3.00,2
2,100.00,75.00,2,2.00,2
2,100.00,66.67,0,1.50,2
2,50.00,11.11.20,1,4.50,1
2,0.00,36.36,0,5.50,1
2,100.00,100.00,0,1.00,2
2,50.00,45.45,1,5.50,1
2,50.00,66.67,0,1.50,0
2,100.00,100.00,0,1.00,2
2,50.00,11.11.20,1,4.50,1
2,50.00,33.33,2,1.50,2
2,100.00,50.00,2,2.00,2
2,100.00,100.00,2,1.00,2
2,100.00,33.33,2,3.00,2
2,100.00,66.67,0,1.50,2
2,50.00,40.00,2,2.50,2
2,50.00,33.33,2,1.50,2
2,100.00,40.00,2,2.50,2
2,100.00,33.33,1,3.00,1
2,100.00,20.00,1,5.00,2
2,100.00,66.67,1,1.50,2
2,0.00,22.22,0,4.50,0
2,100.00,75.00,1,2.00,2
2,100.00,40.00,2,2.50,2
2,100.00,50.00,0,2.00,2
2,50.00,01.12.50,0,4.00,1
2,100.00,25.00,2,4.00,2
2,100.00,100.00,0,1.00,2
2,100.00,66.67,0,1.50,2
2,100.00,66.67,2,1.50,2
2,100.00,28.57,2,3.50,2
2,50.00,09.09.20,0,5.50,1
2,100.00,22.22,1,4.50,2
2,100.00,22.22,1,4.50,2
2,50.00,22.22,2,4.50,2
2,100.00,21.43,2,7.00,2
2,0.00,25.00,2,4.00,2
2,100.00,40.00,0,2.50,2
2,50.00,16.67,1,3.00,1
2,100.00,22.22,2,4.50,2
2,100.00,40.00,0,2.50,2
2,100.00,40.00,0,2.50,2
2,100.00,33.33,1,3.00,2
2,50.00,33.33,0,1.50,0
